playerID,birthYear,nameFirst,nameLast,weight,height,bats,throws,debut
lincobr01,1985.0,Brad,Lincoln,225.0,72.0,L,R,2010-06-09
lincomi01,1975.0,Mike,Lincoln,211.0,74.0,R,R,1999-04-07
lindad01,1983.0,Adam,Lind,195.0,74.0,L,L,2006-09-02
lindbjo01,1987.0,Josh,Lindblom,240.0,76.0,R,R,2011-06-01
lindeji01,1962.0,Jim,Lindeman,200.0,73.0,R,R,1986-09-03
lindeto01,1980.0,Todd,Linden,225.0,74.0,B,R,2003-08-18
lindgja01,1993.0,Jacob,Lindgren,205.0,71.0,L,L,2015-05-25
lindjo01,1964.0,Jose,Lind,155.0,71.0,R,R,1987-08-28
lindofr01,1993.0,Francisco,Lindor,190.0,71.0,B,R,2015-06-14
lindsbi02,1960.0,Bill,Lindsey,195.0,75.0,R,R,1987-07-18
lindsdo01,1967.0,Doug,Lindsey,200.0,74.0,R,R,1991-10-06
lindsjo01,1977.0,John,Lindsey,255.0,74.0,R,R,2010-09-08
lindsma01,1980.0,Matt,Lindstrom,215.0,75.0,R,R,2007-04-04
lindsro01,1976.0,Rod,Lindsey,175.0,68.0,R,R,2000-09-02
lindssh01,1985.0,Shane,Lindsay,230.0,74.0,R,R,2011-09-02
linebsc01,1976.0,Scott,Linebrink,220.0,75.0,R,R,2000-04-15
liniaco01,1976.0,Cole,Liniak,181.0,73.0,R,R,1999-09-03
linkjo01,1984.0,Jon,Link,205.0,72.0,R,R,2010-04-20
lintodo01,1965.0,Doug,Linton,185.0,73.0,R,R,1992-08-03
lirafe01,1972.0,Felipe,Lira,170.0,72.0,R,R,1995-04-27
liriafr01,1983.0,Francisco,Liriano,225.0,74.0,L,L,2005-09-05
liriane01,1964.0,Nelson,Liriano,165.0,70.0,B,R,1987-08-25
liriape01,1980.0,Pedro,Liriano,170.0,74.0,R,R,2004-08-27
liriary01,1991.0,Rymer,Liriano,230.0,72.0,R,R,2014-08-11
listapa01,1967.0,Pat,Listach,170.0,69.0,B,R,1992-04-08
litscje01,1985.0,Jesse,Litsch,235.0,73.0,R,R,2007-05-15
littlbr01,1959.0,Bryan,Little,160.0,70.0,B,R,1982-07-29
littlgr99,1950.0,Grady,Little,175.0,71.0,R,R,
littlma01,1972.0,Mark,Little,195.0,72.0,R,R,1998-09-12
littlsc01,1963.0,Scott,Little,198.0,72.0,R,R,1989-07-27
littlwe01,1982.0,Wes,Littleton,210.0,74.0,R,R,2006-07-04
littogr01,1964.0,Greg,Litton,175.0,72.0,R,R,1989-05-02
livinbo01,1982.0,Bobby,Livingston,205.0,75.0,L,L,2006-04-25
livinsc01,1965.0,Scott,Livingstone,190.0,72.0,L,R,1991-07-19
lizra01,1983.0,Radhames,Liz,200.0,74.0,R,R,2007-08-25
lloydgr01,1967.0,Graeme,Lloyd,225.0,80.0,L,L,1993-04-11
loaizes01,1971.0,Esteban,Loaiza,230.0,74.0,R,R,1995-04-29
lobatjo01,1984.0,Jose,Lobaton,215.0,73.0,B,R,2009-07-05
lobstky01,1989.0,Kyle,Lobstein,200.0,75.0,L,L,2014-08-23
loch02,1986.0,Chia-Jen,Lo,205.0,71.0,R,R,2013-07-31
lockeje01,1987.0,Jeff,Locke,195.0,72.0,L,L,2011-09-10
lockhke01,1964.0,Keith,Lockhart,170.0,70.0,L,R,1994-04-05
loducpa01,1972.0,Paul,Lo Duca,193.0,70.0,R,R,1998-06-21
loeka01,1981.0,Kameron,Loe,245.0,80.0,R,R,2004-09-26
